V1	V2	coexSPL.tsv	coexMSG.tsv	ppi.tsv	HP.tsv	coexKDN.tsv
DNM2	BIN1	0	0	1	1	0
DNM2	TIA1	0	0	0	1	0
DNM2	COL6A2	0	0	0	1	0
DNM2	RYR1	0	0	0	1	0
DNM2	DNM2	0	0	1	0	0
LMNA	GOSR2	0	0	1	0	0
LMNA	LAMB1	0	0	1	0	0
LMNA	SGCA	0	0	0	1	0
LMNA	COL6A3	0	0	0	1	0
LMNA	COL6A1	0	0	0	1	0
LMNA	TCAP	0	0	0	1	0
LMNA	TTN	0	0	1	1	0
LMNA	ACTA1	0	0	0	1	0
LMNA	SELENON	1	0	0	1	0
LMNA	TPM3	0	0	0	1	0
LMNA	GMPPB	0	0	1	0	0
LMNA	FHL1	0	0	1	1	0
LMNA	COL6A2	0	0	0	1	0
LMNA	RYR1	0	0	0	1	0
LMNA	DNM2	0	0	0	1	0
LMNA	LMNA	0	0	1	0	0
